Category,Message
spam,Classification : Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,"Classification : Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
ham,Classification : Kinda. First one gets in at twelve! Aah. Speak tomo
spam,"Classification : 09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,Classification : Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
ham,Classification : Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
spam,"Classification : YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,Classification : Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Classification : I wont touch you with out your permission.
spam,Classification : Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,"Classification : 7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
ham,Classification : Take some small dose tablet for fever
ham,Classification : Oh. U must have taken your REAL Valentine out shopping first.
ham,"Classification : Just sent you an email – to an address with incomm in it, is that right?"
ham,"Classification : Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,"Classification : Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,"Classification : Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,Classification : I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,Classification : Why you keeping me away like this
ham,Classification : I think its far more than that but find out. Check google maps for a place from your dorm.
ham,Classification : My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
ham,Classification : Have you always been saying welp?
ham,"Classification : I'm a guy, browsin is compulsory"
ham,Classification : Ok...
ham,Classification : Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,"Classification : Sorry, I'll call later"
ham,"Classification : (I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
ham,"Classification : Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
ham,Classification : I told your number to gautham..
ham,Classification : Tell them no need to investigate about me anywhere.
ham,Classification : Ok i juz receive..
ham,"Classification : Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
spam,"Classification : Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
ham,Classification : In the end she might still vomit but its okay. Not everything will come out.
ham,Classification : How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,Classification : It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,Classification : Hey gals.. Anyone of u going down to e driving centre tmr?
ham,Classification : I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
ham,Classification : I'm putting it on now. It should be ready for  &lt;TIME&gt;
ham,"Classification : Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
spam,"Classification : SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
ham,Classification : Host-based IDPS for linux systems.
spam,"Classification : HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Classification : Don no da:)whats you plan?
ham,Classification : Ill be there on  &lt;#&gt;  ok.
ham,Classification : Oh my God. I'm almost home
ham,Classification : Total video converter free download type this in google search:)
spam,Classification : Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,"Classification : Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Classification : Sounds like something that someone testing me would sayy
ham,Classification : When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,"Classification : Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,Classification : Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,"Classification : Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
ham,Classification : Hows the champ just leaving glasgow!
ham,Classification : K:)all the best:)congrats...
ham,Classification : I wonder if you'll get this text?
ham,Classification : I need to come home and give you some good lovin...
spam,Classification : Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,Classification : Shall i ask one thing if you dont mistake me.
ham,Classification : Check wid corect speling i.e. Sarcasm
spam,"Classification : URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,Classification : Are you angry with me. What happen dear
ham,Classification : I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,Classification : Yup ok thanx...
ham,Classification : Hi:)cts employee how are you?
ham,Classification : Pls pls find out from aunt nike.
ham,"Classification : Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
ham,Classification : No screaming means shouting..
ham,Classification : Hey what happen de. Are you alright.
ham,Classification : Should I have picked up a receipt or something earlier
ham,Classification : I think chennai well settled?
ham,Classification : Oh dang! I didn't mean o send that to you! Lol!
ham,Classification : Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,Classification : Horrible bf... I now v hungry...
ham,Classification : Remember on that day..
spam,Classification : You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Classification : How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,Classification : All sounds good. Fingers . Makes it difficult to type
ham,Classification : Midnight at the earliest
ham,Classification : You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Classification : K come to nordstrom when you're done
ham,Classification : Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,Classification : Now press conference da:)
spam,"Classification : Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,Classification : After completed degree. There is no use in joining finance.
ham,"Classification : Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,Classification : Shant disturb u anymore... Jia you...
ham,Classification : Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,"Classification : Me, i dont know again oh"
ham,Classification : Dude sux for snake. He got old and raiden got buff
ham,Classification : He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,Classification : In e msg jus now. U said thanks for gift.
ham,Classification : U too...
ham,Classification : Ok how you dear. Did you call chechi
ham,Classification : Yeah we do totes. When u wanna?
ham,Classification : Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Classification : Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,Classification : Wat r u doing?
ham,Classification : Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
ham,"Classification : Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
ham,"Classification : Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
ham,Classification : Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,Classification : Dude just saw a parked car with its sunroof popped up. Sux
ham,Classification : Get ready to put on your excellent sub face :)
ham,Classification : Tmrw. Im finishing 9 doors
ham,"Classification : The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
ham,Classification : I am late. I will be there at
ham,"Classification : whatever, im pretty pissed off."
ham,Classification : Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,Classification : I dont have that much image in class.
ham,Classification : No:-)i got rumour that you going to buy apartment in chennai:-)
ham,Classification : Near kalainar tv office.thenampet
spam,Classification : Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,Classification : SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
ham,Classification : My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,"Classification : Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
ham,Classification : No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,"Classification : Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,Classification : How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
ham,"Classification : Why is that, princess? I bet the brothas are all chasing you!"
ham,"Classification : I shall book chez jules for half eight, if that's ok with you?"
ham,Classification : Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,"Classification : Yep, at derek's house now, see you Sunday &lt;3"
ham,"Classification : It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,"Classification : Sorry, I'll call later"
ham,Classification : I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,Classification : There are no other charges after transfer charges and you can withdraw anyhow you like
ham,"Classification : Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Classification : At 4. Let's go to bill millers
ham,Classification : I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
ham,"Classification : Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,Classification : That's my honeymoon outfit. :)
ham,Classification : Will it help if we propose going back again tomorrow
spam,Classification : PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,Classification : Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Classification : Pls confirm the time to collect the cheque.
spam,Classification : As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
spam,Classification : URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,Classification : Daddy will take good care of you :)
ham,"Classification : Yeah probably, I still gotta check out with leo"
ham,Classification : K.then any other special?
ham,Classification : Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,Classification : Ok pa. Nothing problem:-)
ham,Classification : Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!
ham,"Classification : God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,Classification : When you came to hostel.
ham,Classification : Ok no prob... I'll come after lunch then...
ham,Classification : Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,Classification : Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
ham,Classification : You all ready for * big day tomorrow?
ham,Classification : I'll probably be around mu a lot
ham,Classification : 645
spam,Classification : RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
ham,Classification : Thnx dude. u guys out 2nite?
ham,Classification : Me sef dey laugh you. Meanwhile how's my darling anjie!
ham,Classification : Mm i had my food da from out
ham,"Classification : K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
ham,Classification : Did u download the fring app?
ham,Classification : The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
ham,Classification : Friends that u can stay on fb chat with
ham,"Classification : Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
ham,"Classification : Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
spam,Classification : U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,"Classification : Ah, well that confuses things, doesn‘t it?"
spam,Classification : 500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,Classification : Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,Classification : Dear how you. Are you ok?
spam,"Classification : You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS"
ham,Classification : Yes princess! I want to make you happy...
ham,Classification : Sounds like you have many talents! would you like to go on a dinner date next week?
ham,Classification : I am going to film 2day da. At 6pm. Sorry da.
ham,Classification : We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,Classification : Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Classification : Yesterday its with me only . Now am going home.
spam,"Classification : Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
ham,"Classification : You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,"Classification : No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
spam,"Classification : 0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
ham,Classification : Great comedy..cant stop laughing da:)
spam,Classification : FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,"Classification : Alright, we're all set here, text the man"
ham,"Classification : Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,Classification : Sleeping nt feeling well
ham,Classification : U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,Classification : India have to take lead:)
ham,Classification : I.ll post her out l8r. In class
ham,Classification : Thts wat Wright Brother did to fly..
ham,"Classification : Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!"
ham,Classification : If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
ham,Classification : ITS A LAPTOP TAKE IT WITH YOU.
ham,Classification : I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
ham,Classification : I wan but too early lei... Me outside now wun b home so early... Neva mind then...
spam,"Classification : For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
ham,Classification : I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?
ham,"Classification : Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
ham,Classification : At 7 we will go ok na.
ham,Classification : Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,Classification : S:-)if we have one good partnership going we will take lead:)
spam,Classification : RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
ham,"Classification : Yeah, where's your class at?"
ham,Classification : No just send to you. Bec you in temple na.
ham,"Classification : You aren't coming home between class, right? I need to work out and shower!"
spam,Classification : Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,Classification : S but mostly not like that.
ham,Classification : Ü v ma fan...
ham,Classification : Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
ham,Classification : Guess who spent all last night phasing in and out of the fourth dimension
ham,Classification : So now my dad is gonna call after he gets out of work and ask all these crazy questions.
ham,"Classification : Yes..but they said its IT.,"
ham,"Classification : Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)"
ham,Classification : Lmao!nice 1
ham,Classification : Glad to see your reply.
spam,Classification : URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
spam,Classification : Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,Classification : Nah dub but je still buff
ham,"Classification : Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
ham,"Classification : Yeah, that's fine! It's £6 to get in, is that ok?"
ham,Classification : Lol where do u come up with these ideas?
ham,"Classification : So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,"Classification : Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham,Classification : Okay... We wait ah
ham,Classification : Y lei?
ham,Classification : HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
ham,Classification : Already am squatting is the new way of walking
ham,Classification : Do you want bold 2 or bb torch
ham,Classification : Cramps stopped. Going back to sleep
spam,Classification : todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
spam,Classification : Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,Classification : Nan sonathaya soladha. Why boss?
ham,Classification : Bring tat cd don forget
spam,Classification : Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
ham,Classification : I don't know but I'm raping dudes at poker
ham,Classification : Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
ham,Classification : Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,Classification : Ü eatin later but i'm eatin wif my frens now lei... Ü going home first?
ham,Classification : Finish already... Yar they keep saying i mushy... I so embarrassed ok...
ham,"Classification : Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,Classification : Hai priya are you right. What doctor said pa. Where are you.
spam,"Classification : Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
ham,Classification : Ok...
ham,Classification : Please ask mummy to call father
ham,Classification : Can come my room but cannot come my house cos my house still messy... Haha...
ham,Classification : I have lost 10 kilos as of today!
ham,Classification : Just taste fish curry :-P
ham,Classification : What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
ham,Classification : Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
ham,Classification : Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
ham,Classification : Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,"Classification : How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
ham,Classification : U meet other fren dun wan meet me ah... Muz b a guy rite...
ham,"Classification : (No promises on when though, haven't even gotten dinner yet)"
ham,Classification : I got your back! Do you have any dislikes in bed?
ham,Classification : o turns out i had stereo love on mi phone under the unknown album.
spam,Classification : Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
ham,Classification : Yeah I don't see why not
ham,Classification : Asking do u knw them or nt? May be ur frnds or classmates?
ham,"Classification : Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
spam,Classification : WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
ham,"Classification : As in missionary hook up, doggy hook up, standing...|"
ham,Classification : Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
ham,"Classification : Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,Classification : Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.
ham,Classification : Thought praps you meant another one. Goodo! I'll look tomorrow
ham,"Classification : Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
ham,Classification : There bold 2  &lt;#&gt; . Is that yours
ham,Classification : You know there is. I shall speak to you in  &lt;#&gt;  minutes then
ham,Classification : ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
ham,Classification : I went to project centre
ham,Classification : As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Classification : Lol yeah at this point I guess not
ham,Classification : Doing project w frens lor.
ham,Classification : Lol. Well quality aint bad at all so i aint complaining
ham,"Classification : K, can that happen tonight?"
spam,"Classification : Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
ham,"Classification : I think we're going to finn's now, come"
ham,Classification : Why tired what special there you had
ham,Classification : I will come tomorrow di
ham,Classification : I cant pick the phone right now. Pls send a message
ham,Classification : K go and sleep well. Take rest:-).
ham,Classification : U guys never invite me anywhere :(
spam,Classification : UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,Classification : I can do that! I want to please you both inside and outside the bedroom...
ham,Classification : EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
ham,Classification : I love to wine and dine my lady!
spam,Classification : Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
ham,"Classification : Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
ham,Classification : I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,Classification : I think u have the wrong number.
ham,Classification : Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
ham,Classification : DO NOT B LATE LOVE MUM
ham,Classification : Got it..mail panren paru..
ham,Classification : * Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,Classification : Give one miss from that number please
ham,Classification : Jus came back fr lunch wif my sis only. U leh?
ham,Classification : How is your schedule next week? I am out of town this weekend.
ham,Classification : Really good:)dhanush rocks once again:)
ham,Classification : Lmao ok I wont be needing u to do my hair anymore.
ham,"Classification : Miss ya, need ya, want ya, love ya."
ham,Classification : Sorry i'm not free...
ham,Classification : Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,Classification : Nt yet chikku..simple habba..hw abt u?
ham,"Classification : Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Classification : Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
ham,Classification : Joy's father is John. Then John is the NAME of Joy's father. Mandan
spam,Classification : Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Classification : Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
spam,Classification : SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,"Classification : K, want us to come by now?"
ham,Classification : How. Its a little difficult but its a simple way to enter this place
ham,Classification : Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
ham,Classification : Dont show yourself. How far. Put new pictures up on facebook.
ham,Classification : Watching tv now. I got new job :)
ham,"Classification : Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,"Classification : I'm not coming over, do whatever you want"
ham,"Classification : Its ok chikku, and its my 1 of favourite song..:-)"
ham,Classification : Did u see what I posted on your Facebook?
spam,Classification : Call FREEPHONE 0800 542 0578 now!
spam,Classification : Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,"Classification : 7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
spam,"Classification : Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
